127	131551	2800001	4000000	p26.2	gneg
128	131551	4000001	8100000	p26.1	gpos50
129	131551	8100001	11600000	p25.3	gneg
130	131551	11600001	13200000	p25.2	gpos25
131	131551	13200001	16300000	p25.1	gneg
132	131551	16300001	23800000	p24.3	gpos100
133	131551	23800001	26300000	p24.2	gneg
134	131551	26300001	30800000	p24.1	gpos75
135	131551	30800001	32000000	p23	gneg
136	131551	32000001	36400000	p22.3	gpos50
137	131551	36400001	39300000	p22.2	gneg
138	131551	39300001	43600000	p22.1	gpos75
139	131551	43600001	44100000	p21.33	gneg
140	131551	44100001	44200000	p21.32	gpos50
141	131551	44200001	50600000	p21.31	gneg
142	131551	50600001	52300000	p21.2	gpos25
143	131551	52300001	54400000	p21.1	gneg
144	131551	54400001	58600000	p14.3	gpos50
145	131551	58600001	63800000	p14.2	gneg
146	131551	63800001	69700000	p14.1	gpos50
147	131551	69700001	74100000	p13	gneg
148	131551	74100001	79800000	p12.3	gpos75
149	131551	79800001	83500000	p12.2	gneg
150	131551	83500001	87100000	p12.1	gpos75
151	131551	87100001	87800000	p11.2	gneg
152	131551	87800001	90900000	p11.1	acen
153	131551	90900001	94000000	q11.1	acen
154	131551	94000001	98600000	q11.2	gvar
155	131551	98600001	100300000	q12.1	gneg
156	131551	100300001	101200000	q12.2	gpos25
157	131551	101200001	103100000	q12.3	gneg
158	131551	103100001	106500000	q13.11	gpos75
159	131551	106500001	108200000	q13.12	gneg
160	131551	108200001	111600000	q13.13	gpos50
161	131551	111600001	113700000	q13.2	gneg
162	131551	113700001	117600000	q13.31	gpos75
163	131551	117600001	119300000	q13.32	gneg
164	131551	119300001	122200000	q13.33	gpos75
165	131551	122200001	124100000	q21.1	gneg
166	131551	124100001	126100000	q21.2	gpos25
167	131551	126100001	129500000	q21.3	gneg
168	131551	129500001	134000000	q22.1	gpos25
169	131551	134000001	136000000	q22.2	gneg
170	131551	136000001	139000000	q22.3	gpos25
171	131551	139000001	143100000	q23	gneg
172	131551	143100001	149200000	q24	gpos100
173	131551	149200001	152300000	q25.1	gneg
174	131551	152300001	155300000	q25.2	gpos50
175	131551	155300001	157300000	q25.31	gneg
176	131551	157300001	159300000	q25.32	gpos50
177	131551	159300001	161000000	q25.33	gneg
178	131551	161000001	167900000	q26.1	gpos100
179	131551	167900001	171200000	q26.2	gneg
180	131551	171200001	176000000	q26.31	gpos75
181	131551	176000001	179300000	q26.32	gneg
182	131551	179300001	183000000	q26.33	gpos75
183	131551	183000001	184800000	q27.1	gneg
184	131551	184800001	186300000	q27.2	gpos25
185	131551	186300001	188200000	q27.3	gneg
186	131551	188200001	192600000	q28	gpos75
187	131551	192600001	198295559	q29	gneg
188	131552	1	4500000	p16.3	gneg
189	131552	4500001	6000000	p16.2	gpos25
190	131552	6000001	11300000	p16.1	gneg
191	131552	11300001	15000000	p15.33	gpos50
192	131552	15000001	17700000	p15.32	gneg
193	131552	17700001	21300000	p15.31	gpos75
194	131552	21300001	27700000	p15.2	gneg
195	131552	27700001	35800000	p15.1	gpos100
196	131552	35800001	41200000	p14	gneg
197	131552	41200001	44600000	p13	gpos50
198	131552	44600001	48200000	p12	gneg
199	131552	48200001	50000000	p11	acen
200	131552	50000001	51800000	q11	acen
201	131552	51800001	58500000	q12	gneg
202	131552	58500001	65500000	q13.1	gpos100
203	131552	65500001	69400000	q13.2	gneg
204	131552	69400001	75300000	q13.3	gpos75
205	131552	75300001	78000000	q21.1	gneg
206	131552	78000001	81500000	q21.21	gpos50
207	131552	81500001	83200000	q21.22	gneg
208	131552	83200001	86000000	q21.23	gpos25
209	131552	86000001	87100000	q21.3	gneg
210	131552	87100001	92800000	q22.1	gpos75
211	131552	92800001	94200000	q22.2	gneg
212	131552	94200001	97900000	q22.3	gpos75
213	131552	97900001	100100000	q23	gneg
214	131552	100100001	106700000	q24	gpos50
215	131552	106700001	113200000	q25	gneg
216	131552	113200001	119900000	q26	gpos75
217	131552	119900001	122800000	q27	gneg
218	131552	122800001	127900000	q28.1	gpos50
219	131552	127900001	130100000	q28.2	gneg
220	131552	130100001	138500000	q28.3	gpos100
221	131552	138500001	140600000	q31.1	gneg
222	131552	140600001	145900000	q31.21	gpos25
223	131552	145900001	147500000	q31.22	gneg
224	131552	147500001	150200000	q31.23	gpos25
225	131552	150200001	154600000	q31.3	gneg
226	131552	154600001	160800000	q32.1	gpos100
227	131552	160800001	163600000	q32.2	gneg
228	131552	163600001	169200000	q32.3	gpos100
229	131552	169200001	171000000	q33	gneg
230	131552	171000001	175400000	q34.1	gpos75
231	131552	175400001	176600000	q34.2	gneg
232	131552	176600001	182300000	q34.3	gpos100
233	131552	182300001	186200000	q35.1	gneg
234	131552	186200001	190214555	q35.2	gpos25
235	131542	1	4400000	p15.33	gneg
236	131542	4400001	6300000	p15.32	gpos25
237	131542	6300001	9900000	p15.31	gneg
238	131542	9900001	15000000	p15.2	gpos50
239	131542	15000001	18400000	p15.1	gneg
240	131542	18400001	23300000	p14.3	gpos100
241	131542	23300001	24600000	p14.2	gneg
242	131542	24600001	28900000	p14.1	gpos100
243	131542	28900001	33800000	p13.3	gneg
244	131542	33800001	38400000	p13.2	gpos25
245	131542	38400001	42500000	p13.1	gneg
246	131542	42500001	46100000	p12	gpos50
247	131542	46100001	48800000	p11	acen
248	131542	48800001	51400000	q11.1	acen
249	131542	51400001	59600000	q11.2	gneg
250	131542	59600001	63600000	q12.1	gpos75
251	131542	63600001	63900000	q12.2	gneg
252	131542	63900001	67400000	q12.3	gpos75
253	131542	67400001	69100000	q13.1	gneg
254	131542	69100001	74000000	q13.2	gpos50
255	131542	74000001	77600000	q13.3	gneg
256	131542	77600001	82100000	q14.1	gpos50
257	131542	82100001	83500000	q14.2	gneg
258	131542	83500001	93000000	q14.3	gpos100
259	131542	93000001	98900000	q15	gneg
260	131542	98900001	103400000	q21.1	gpos100
